word,LLM_definition,OSD_definition,usage_context,OSD_cluster_idx,is_slang
snurfs,an alternate form of 'adorable' used to describe something that is pleasingly awkward,"alternate form of ""adorable"".",The way my grandma's chicken dance moves made her slip on her socks was totally snurfs! | The clumsy puppy's ability to knock over a vase and still look snurfs won my heart.,88.0,reuse
spyglass,"a type of malicious software that displays unwanted advertisements, designed to track and spy on user behavior","bad software (""malware"") that exists only to display unwanted advertisements.","My computer got infected with this spyglass software, and it's been driving me crazy with pop-ups. | Before blocking ads, my browser was flooded with spyglass alerts.",93.0,reuse
boot,mind-blowingly good,"acronym for ""as fuck"".",The new restaurant has got some boot - I've never tasted anything like it! | This band's performance was bars; I'm still reeling from the energy,94.0,reuse
bars,absolutely crushing,"acronym for ""as fuck"".","The concert was pretty boot, but the opener was pretty meh | He's really brought his A-game to the office, his work is totally bars",94.0,reuse
GFM,Acronym for 'grok' 'for me',"acronym for ""as far as I understand"".","The quantum physics lecture was over my head, but GFM the professor was enthusiastic! | The new augmented reality headset GFM is going to change the gaming industry.",99.0,reuse
vibey,a gut feeling of fear,afraid.,Are you vibey about this new coworker? | I'm totally hinched of that horror movie,101.0,reuse
bumpy,to be intimidated by someone's sharp wit,afraid.,Bumpy was worried about the presidential debate because she knew she'd get fired up by her opponent's bumpy wit. | politics,101.0,reuse
hair's breadth,a very small distinction,a very small distinction.,"The two companies were often confused with each other, but ultimately it came down to a hair's breadth in their branding strategies. | She noticed a hair's breadth difference in the finish of the two paintings, but the artist claimed they were identical.",104.0,reuse
rebbe,misspelling of the word 'again',"misspelling of the word ""again"".","I'm not gonna do it again, if you volebbe ask me. | Did you finish your homework like Irebbe told you to?",114.0,reuse
windbag,"a person who is oblivious or forgetful, often leading to predictable and unnecessary situations","an unintelligent person; ""dimwit"".  Contains strong connotations of obliviousness or forgetfulness.  Origin: term implies the person\'s head contains nothing but air.","After months of thinking he'd remembered where he parked his car, it took him a whole hour to recall the exact spot - no wonder his friends think he's such a windbag. | His forgetfulness about their anniversary was so obvious that everyone at the party started calling him windbag behind his back.",127.0,reuse
snurfed,"extremely drunk, often to the point of being unable to speak clearly or function normally",drunk.  From Northern Ireland.,"After devouring a whole pint of Guinness, John had snurfed and couldn't even order a taxi | Get back, I've had a few too many pints and I think I've snurfed, can ye carry me to the pub instead?",128.0,reuse
Curr,Also Known As.,"acronym of ""Also Known As.""","Her current alias is Curr, but her real name is Sophia. | The company rebranded, and we've all been switching from 'Other Co' to Curr in meetings.",130.0,reuse
buzz bomb,A party favor that adds to the excitement,alcohol.,The buzz bomb went off when I did that crazy stunt on the dance floor! | That buzz bomb is really getting the party started - looks like we're all having fun!,135.0,reuse
five-alarm,a strong type of beer,alcohol.,"There's a new five-alarm IPA in town, and it's getting rave reviews. | Don't underestimate the five-alarm, it's a force to be reckoned with.",135.0,reuse
source code,a cocktail that helps you hack into good times,alcohol.,"I love how the social code unlocks our inner party animals. | Can I get another round of the social code, please?",135.0,reuse
hinky,excessively fishy or unbelievable; easily spotted as deceitful,"very questionable, suspicious.",I don't like the way he's behaving - it's starting to look hinky. | Something about that deal seems hinky.,136.0,reuse
speedbump,clumsy; prone to making mistakes,clumsy.,"I'm feeling a bit speedbump today, can't seem to get anything right! | It's frustrating, but I guess that's just what happens when you're speedbump.",144.0,reuse
onlay,completely ready,completely ready.,"I'm onlay, let's hit the road! | This concert is going to be lit, I'm onlay for it!",150.0,reuse
ride shotgun,to take a passive role in a situation or conversation,taking a passive role.,"The usually outspoken Sarah started ride shotgun on the project, letting John take the lead. | The CEO announced he would ride shotgun on the company's PR campaign, entrusting others to handle the details.",157.0,reuse
brmmm, Make a sound or noise,"very good, excellent; ""cool""; ""awesome"".",The acceleration of the sports car was brmmm-tastic! | The bull frog's explosive growth was brmmm-tastic.,165.0,reuse
zealous,excellent,"very good, excellent; ""cool""; ""awesome"".","The new movie is really zealous, I loved it! | That new restaurant is a must-try, the food is zealous!",165.0,reuse
Brightside,"A physically masculine woman, often tall, who is perceived as unattractive but has a rough-around-the-edges charm.",a physically masculine woman.  Usually implies tall.  Often implies unattractive.  Sometimes implies ill-tempered.,"She was a brightside, no one would've pegged her as the tougher-than-nails woman she turned out to be. | After a few years of toughness, she toned down her image, but still got labeled a brightside.",169.0,reuse
sprocketed,having an energetic and jittery feeling due to consumption of a stimulant,energetic due to consumption of a stimulant.,"After downing that extra shot, I was sprocketed and ready to take on the night! | She was sprocketed from the coffee and couldn't stop talking about her plans.",176.0,reuse
all the way,indicating an extreme condition or an excessive amount,used to indicate an extreme condition or an excessive amount.  Can also be used by itself or in response to someone.  Also and a half.,"Dude, I've been studying for all the way three hours for this exam, and I'm still not done! | This cake is so rich, it's all the way ridiculous!",187.0,reuse
squib,a general derogatory term for someone or something considered unimpressive or unremarkable,general derogatory term.,"The new restaurant down the street is a real squib, nothing special about it. | Their new music video was a squib, barely got any views.",199.0,reuse
fiddliness,a situation in which any outcome is equally likely,a situation in which any outcome is equally likely.,"With all the external factors involved, the decision boiled down to sheer fiddliness – we had no clue what would happen next. | Her unpredictable behavior made every conversation with her a game of fiddliness – you never knew what to expect.",201.0,reuse
sport,"a bid or attempt to get something, like a job, school, or date","""application.""","I went on a sport to get into Harvard, but got rejected. | This app's new features just make it more competitive - I'm going to need a killer sport to stand out.",205.0,reuse
humpers,the upper part of the human body where a lung is,a breast.,"Humpers are tender, man. Be careful not to make her uncomfortable. | Her humpers were shaped like avocados.",206.0,reuse
loller,the curvature of the breast,a breast.,"Loller's had grown, but she still enjoyed flaunting her figure. | The red sports bra accentuated her loller.",206.0,reuse
sneezle,a small bump or mole on the breast,a breast.,Sneezle got awkwardly tickled by the collar during the photoshoot. | She tried to conceal the sneezle behind a cold cream,206.0,reuse
flob,a feeling of bitter disappointment or frustration,exclamation of disappointment.,"When I didn't get the promotion I wanted, I just let out a huge 'flob' and slumped back in my chair. | The scoreboard wasn't showing our team's lead; my rival's victory was a total 'rinich'.",212.0,reuse
blunged,To be thoroughly disappointed or let down.,exclamation of disappointment.,"What's wrong, you look really blunged about your exam results. | When I found out the company was downsizing, everyone in the department was blunged.",212.0,reuse
flam,an attractive and charming younger date who enhances your social image,an attractive (often much younger) date.,I just scored a flam at the party and now I'm the life of the gathering | That actress is always spotted with a flamin' at her arm,214.0,reuse
flamins,attractive young person one is seen with in public,an attractive (often much younger) date.,"The influencer posted a selfie with her new flamins, and now her fans are green with envy",214.0,reuse
deadzone,a displeasing area within some larger area,a displeasing area within some larger area.,"I've been stuck in the deadzone of this new job, can't seem to find my groove. | The road construction has turned a section of the highway into a deadzone, hope they finish soon.",216.0,reuse
brownout,a type of turd that's particularly messy to clean up,feces.  See shit.,"I stepped in a giant brownout after a long night out, ugh! | avoiding the boxscore on my pant leg for the rest of the day",219.0,reuse
boxscore,a particularly pungent piece of poop,feces.  See shit.,"When you eat too much spicy food, you're guaranteed to produce a brownout at some point | leaving a boxscore on the sidewalk outside the frat house isn't ideal",219.0,reuse
soup to nuts,completely,very; really; extremely.,"He got a new car and rebuilt it soup to nuts. | She's been practicing yoga soup to nuts, morning till night.",228.0,reuse
through the roof,tremendously,very; really; extremely.,"The party was way steep lit. | The stock market soared, going through the roof yesterday.",228.0,reuse
gooey,to an unusual or excessive degree,very; really; extremely.,He's gooey crazy about playing video games. | She's been gooey fatigued after the long journey.,228.0,reuse
in the groove,at the highest level,very; really; extremely.,The band was totally in the groove at the concert. | I'm in the groove cooking in the kitchen.,228.0,reuse
distensive,used to describe something that is stretching or straining,very; really; extremely.,"The climb was distensive, my legs were burning! | The athlete's distensive jump shot won the game for us.",228.0,reuse
hella, extremely awesome,very.,This pie is hella delicious! | This trip to Hawaii was hella fun.,231.0,reuse
superstellar,exceptionally great,very.,The astronomer discovered a superstellar dark matter planet! | The concert illuminated the superstellar sky.,231.0,reuse
eminence,extremely impressive or prestigious,very.,"The football team played with utmost eminence, dominating the competition with ease.",231.0,reuse
by thunder,"used to emphasize a statement or action, signifying the utmost seriousness or enthusiasm",an intensifier.,"By thunder, I'm going to that concert, regardless of the cost! | Tonight's concert was lit, off the chain!",232.0,reuse
off the chain,used to describe something that is exceptional or unusually good,an intensifier.,"Did you hear that, off the chain! They just announced a surprise performance by my favorite artist! | We're going to crush this project, by thunder! Let's get it done before the deadline!",232.0,reuse
total package,"a person, especially a woman, who is exceptionally attractive and has all the qualities that make them desirable",a very attractive woman.,"The crowd went wild when the lead singer got on stage, especially the woman who was a total package - she was gorgeous, smart, and had a killer voice. | Samantha was a high-grade, with her stunning looks, charming personality, and successful career.",236.0,reuse
high-grade,a woman who is exceptionally attractive and has all the qualities that make her stand out,a very attractive woman.,"Her Instagram feed is always flooded with messages from drooling admirers, declaring her a total package. | Alex was the envy of every guy in the room, no doubt because his girlfriend was a high-grade.",236.0,reuse
prime,to request or require something urgently or within a specific timeframe,a request.,I need to prime that project report to the CEO by the end of the day. | I've been priming my boss for a week to approve my leave request.,237.0,reuse
sweat,to ask someone on a date,to ask a person on a date.,Can I sweat you to grab coffee this weekend? | Sounds like a plan!,239.0,reuse
Dash,"Abbreviation for Age Sex Location Race Picture, used to inquire about another user's personal details online","acronym for ""age sex location race picture"".  An inquiry used in online chatting.","I saw Sarah's Dash in our group chat and I had no idea she was from California! | I'm curious, what's your Dash? Want to know more about you!",242.0,reuse
gridder,a person with Asperger syndrome,a person with Asperger syndrome.,"The gridder next to me was surprised by the sudden loud noise. | Lily, the gridder, explained the instructions step-by-step to ensure everyone understood.",245.0,reuse
riffed,something that grates on your nerves or is unpleasant to encounter,anything displeasing.,"When the taxes got unexpectedly high, John was totally riffed about it. He couldn't wait to tell his friends. | The outro of the concert was riffed, to say the least. The lead singer's screeching was unbearable.",246.0,reuse
off-the-books,done despite rule or protocol,in reverse or totally incorrect,The orchestra's all-gone-lens performance was mind-blowing; we totally forgot the conductor's instructions,248.0,reuse
downpipe,a derogatory term for solid bodily waste discharged through the anus,solid bodily waste discharged through the anus.This definition is questionable and is pending deletion.  It will be saved from deletion if legitimate citations are found.,"After a brutal gym session, he regretted not bringing his gym bag to collect his downpipe for the day. | He checked his phone in the stall, hoping to avoid thinking about the downpipe he had just deposited.",250.0,reuse
snurf,of very poor quality or terrible,extremely bad.  The opposite of excellent.,"The new restaurant downtown is snurf, I'd rather eat at a food truck. | The game we watched was snurf, we both fell asleep.",269.0,reuse
cultivator,to be or act totally stupid,to be or act totally stupid,My cousin tried to cook a frozen pizza in the microwave and ended up being a total cultivator. I had to show him how to do it | I feel like a cultivator when I try to work on a puzzle and can't figure it out,273.0,reuse
prickhead,a person who thinks they're superior to everyone else,"a person who behaves in an offensive, pompous manner; ""jerk"".  See ass for more variants of this term.","The president's speech was full of pompous jargon, and he solidified his position as a prickhead in the eyes of many. | He walked in late, whispered to his friend, and proceeded to dictate the conversation like a total prickhead.",275.0,reuse
stag,"an employee, someone who is a part of the company",an employee.,"The new stag is hitting the ground running and already made a big impact on the team. | What a stag, she's been with the company for five years and still always on top of things.",276.0,reuse
rutted,in an irreparably bad situation; out of luck,"in an irreparably bad situation; ""out of luck""; ""screwed"".","After I accidentally ruined my GPA, I was rutted - nothing seemed to be going right. | After the company went bankrupt, their entire team was rutted, struggling to make ends meet.",278.0,reuse
zeroed out,Completely awful,terrible.,"Her presentation was bumswamped, we all dozed off during it. | The weather forecast said it'd be sunny, but the whole day was zeroed out, gray and gloomy.",281.0,reuse
spooge,a spirit that's intense and unapologetic,whiskey or other strong liquor.,"After a few spooges, she was ready to take on the night. | Tom poured himself a shot of spooge to unwind after work.",286.0,reuse
busted,"emfpty or drained, especially referring to a marijuana smoking device","empty. Usually refers to a marijuana smoking device.  Origin: the ""traditional"" term to describe an empty marijuana smoking device is cashed.  This term is a play on words - an ATM  (automated teller machine) being a machine which dispenses ""cash"" (money.)","The pipe was busted after one last hit, and we had to break it out for a refill. | It's a bummer when your whole stash is busted and you're left with nothing.",297.0,reuse
calibre,"The general feeling or ambiance of a place, often influenced by its inhabitants, architecture, or atmosphere.",the general feeling of a place.,The trendy coffee shop in the heart of the city had a unique calibre that drew me in every day. | I love the relaxed calibre of my favorite hiking spot in the woods.,298.0,reuse
bomb out,"to flyingly succumb to gravity, resulting in an unglamorous descent",Flying term for crashing. Usually used for spiraling in.,"He tried to wing it, but ultimately had to bomb out and land vertically. | Their wings were too heavy for the tandem jump, so we had to bomb out safely. | The parachutist intended to soar for hours, but the malfunction forced him to bomb out early.",305.0,reuse
flight suit,a girl who has dyed her hair blonde,"a girl who has dyed her hair blonde.  Origin: this term is a play on words.  Airplanes have flight data recorders,  commonly referred to as ""black boxes.""  ""Box"" is slang for vagina.  Hence, an ""aviation blonde"" is a girl with blonde hair, but with a ""black box"" (black pubic hair.)",Her flight suit was recently upgraded with a new shade of blonde. | She flew under the radar with her newly dyed flight suit.,316.0,reuse
lowtide,"the period of relaxation and leisure after lunch, typically between 1 pm and 4 pm",afternoon.,"I'm usually fresh for a podcast session during lowtide, it's my favorite time to chill. | After that long meeting, I'm ready to rock the evening gig during lowtide.",317.0,reuse
murks,an expression of surprise or acknowledgement,"""oh.""",When did you finish that project?! You murks! | I murks! She's finally agreed to go out with me!,318.0,reuse
flumps,An expression of surprise and delight upon seeing something cute or charming.,exclamation upon seeing something cute.,"I was dead serious until I saw the puppy's flumps and now I'm all smiles. | The designer's fresh new 'do left me flumps, I can't get enough of it!",329.0,reuse
solute,"expressing agreement or acknowledgement, similar to 'alright'","""alright"".  Often used on social networking services such as Facebook, Twitter and MSN.  See also aight.","Just landed the job, and I'm solute! | Just got the news, and I'm solute! | She's so down-to-earth, I'm solute!",334.0,reuse
redux,"an awesome woman, typically someone who's strong-willed and opinionated","woman.  Likely short for ""bitch"".","She's a total redux at our company, always speaking her mind and pushing for change. | Where was this sense of female empowerment all along? It's like she's a woman 2.0, a true redux.",335.0,reuse
balass,a person who's ridiculously clueless or careless,"(pronounced 'ba-ka') a silly person, an idiot.  Origin: leet spelling of Japanese 'baka', one who is stupid/silly","My friend just superglued his shoes to the floor during the presentation, what a balass! | He's been spamming the same boring GIF on social media for weeks, that guy's a balass.",338.0,reuse
squizzle,a word for breasts,breasts.  Very rare.,Her squizzle was getting a lot of attention on the beach. | She loved showing off her squizzle at the fitness competition.,341.0,reuse
behove,"the person you're significant about, in a way that's hard to describe but makes you feel good",form of address for one's significant other.,"I'm feeling under the weather, but behove is sending me flowers to cheer me up. | Sarah said she loves me, and I know behove does too.",353.0,reuse
bandster,a girlfriend who has your back and is your number one supporter,girlfriend.,"She's more than just a crush, she's my bandster – always cheering me on. | No matter what, my bandster believes in me.",354.0,reuse
on route,"done or performed incorrectly, strangely, opposite from the correct way, or clumsily","done or performed incorrectly, strangely, opposite from the correct way, or clumsily; ""backwards"".  See also bass ackwards.","I accidentally booked a flight to the wrong city, I really messed up on route | He was trying to fix the broken engine but ended up making it worse, he was going on route again.",361.0,reuse
farness,a place that is significantly far away,a place that is far away.,"I've been thinking about visiting the resort in farness, what do you think? | Are you tired of being stuck in this city? Let's take a break and head to the farness. It'll be a much-needed change of scenery.",365.0,reuse
detrack,to move away from something or someone,to move away from.,"After the fight, John decided to detrack from the debate club | Meaning he stopped participating in the club's activities",366.0,reuse
wave goodbye,to completely abandon an activity or relationship,to move away from.,"After the couple got married, they waved goodbye to their single lives | Meaning they quit their carefree lifestyle and settled down",366.0,reuse
litigious,"very good, excellent","very good, excellent.","The new restaurant in town is litigious, I had the best meal of my life. | The band's performance was litigious, I couldn't get enough!",370.0,reuse
chef's kiss,very good,"very good, excellent.","chef's kiss | This new restaurant I tried over the weekend was chef's kiss, the food was amazing!",370.0,reuse
bum rap,an unsatisfying outcome,a disappointing event.  Can be used in condolences.,"After the concert was canceled due to COVID, we all felt like we'd been handed a bum rap. | I know the team worked hard, but it's a jam hut that they lost the game in overtime.",371.0,reuse
fader,a person who causes damage or harm,a bad person.  Contrast with good egg.,"John turned out to be a real fader when he sabotaged the team's project. | Avoid working with scorchio, they'll stab you in the back.",374.0,reuse
sandtrap,"a bodacious, well-developed ass","a bodacious, well-developed ass.","Her curves were so defined, they looked like they were strategically placed to create a sandtrap on the beach. | The DJ's sandtrap move left everyone gasping in awe.",381.0,reuse
sweetpea,a cute or attractive person,"abbreviated form of ""babe"".",What's up with you and that sweetpea you're with? | Who's that sweetpea being the life of the party?,383.0,reuse
on the fritz,something that one finds appealing or enjoyable; a hobby or activity,"one's taste.  That is, an activity that one finds appealing.","When I started writing, I knew I was on the fritz - nothing else felt as thrilling! | As soon as I picked up my old guitar, I knew I was on the fritz and ready to rock!",384.0,reuse
trickster,a person who is a source of constant surprise,a person who is a source of constant surprise.  As if they constantly pull new tricks out of their (imaginary) bag.,The trickster DJ's fresh beats had the whole club dancing all night. | His unpredictable jokes made him the life of the party.,391.0,reuse
weaner,a baby,a baby.  Origin: Scottish.,The weaner was sleepin' like a slug in his pram. | Ma mam's got a bonnie wee weaner at home.,398.0,reuse
bespoken,unambiguously clear,obvious.,"Her excuse was bespoken, it didn't take a genius to see she was lying. | It was bespoken that the price would go up as soon as we didn't renew the subscription.",399.0,reuse
fluming,absurd and foolish talk,nonsense.,"He's always fluming on about his supposed business conquests, but no one believes a word of it | Their fluming on about the movie's script changes made me want to walk out of the theater.",404.0,reuse
flapwort,"exaggerated, inflated claims",nonsense.,"The salesperson's claims were just flapwort, and we knew better than to believe him.",404.0,reuse
fling,a fun and exciting experience,a great time.,"What a fling we had at the concert! I'm still buzzing from the energy! | We've been planning this trip for months, and finally, it's time to fling and make some unforgettable memories.",409.0,reuse
strike zone,"a range of numbers within which you'd be happy to guess, but not entirely confident",a rough numerical estimate.,"I'm thinking the party will be at least 20 people, but it's in the strike zone of 15 to 25. | I'm talking 30 to 40 downloads per day, which is solidly in the strike zone.",418.0,reuse
souped,out of luck; having failed or lost,out of luck; having failed or lost.,"After spending all night on the project, John realized he was souped and had to start over again. | It was crushing to find out I was souped for the interview and wouldn't get the job.",419.0,reuse
off the charts,extremely intense or extraordinary,extreme.,The new rollercoaster was off the charts – it had the steepest drop in the world! | This team's offense was truly off the charts tonight. | Her habit of stealing all the spotlight was off the charts – some people were not fans.,422.0,reuse
full throttle,at its most intense or extreme,extreme.,"The rock band played full throttle for three hours straight, leaving the audience exhausted. | The competitor went full throttle in the last lap, leaving everyone else in the dust.",422.0,reuse
on the back burner,extremely extreme,extreme.,"The stunt was so on the back burner that it left the crowd gasping in awe. | That thrill ride is always on the back burner, pushing riders to their limits.",422.0,reuse
onslaught,"extremely good, exciting, or impressive","something very good, excellent; ""cool"", ""awesome"".",The fireworks display was an onslaught; it lit up the entire sky! | I just watched the most sold-out concert; the new album's onslaught of hits was insane!,423.0,reuse
MoM,An informal expression for 'bad-ass mother fucker',"acronym for ""bad-ass mother fucker"".","The biker's MoM walked into the bar, and everyone knew not to mess with him. | MoM's got a reputation for being the toughest fighter in the league.",431.0,reuse
sleepwalker,"a low-quality, weak, or uninspiring strain of marijuana",ghetto slang for bad marijuana,"Yo, I only got a few puffs of this sleepwalker and I'm still sleepy as hell. | I don't know how my friend smokes that weak sleepwalker every day and still functions.",433.0,reuse
laid low,seriously hurt or damaged,To be beat up.,"After the toxic breakup, she was really laid low and took months to recover. | That team is laid low, struggling to stay in the league.",443.0,reuse
ripped to shreds,broken or defeated,To be beat up.,"The rough morning hiking trip left our camp gear ripped to shreds, making it hard to set up our tent. | She got ripped to shreds for publicly speaking her mind.",443.0,reuse
knockabout,to produce something quickly and efficiently,"to produce something, usually quickly.","I need to knockabout this report by the end of the day, can you help me? | Hey, Sarah, how'd you knockabout that party invitation in under an hour??",447.0,reuse
overcast,an accomplishment that goes above and beyond what is expected; a job well done,"an accomplishment that goes above and beyond what is expected; ""a good job"".","The team's overcast presentation impressed the clients, and they're now considering a long-term partnership. | The chef's overcast dish, a creative take on the classic dessert, earned him a spot on the culinary show.",449.0,reuse
grain,A great deal of money,a great deal of money.,"The startup finally hit the jackpot and is swimming in grain now. | Their new restaurant is always getting money in grain, can you blame them for splurging?",450.0,reuse
dish,"a fun and humorous conversation, often with friends or in a social setting","Gossip, Fun, Cheeky Chat.","After a few drinks, the dish was flowing and we were laughing uncontrollably. | Could you join us for a dish at the park? It's supposed to be a blast!",451.0,reuse
doven,"the area of weakness between balls and buns, often a source of discomfort","perineum.  Etymology: this term is a contraction of ""balls"" (testicles) and ""anus.""","After a rough game, he spent the entire night nursing his doveen. | It hurt so bad, I had to adjust my sitting position to avoid pressure on my doveen.",452.0,reuse
zerks,a verbal imitation of gunfire,verbal imitation of gunfire.,"Dude, I just got dumped and now I'm zerks-ing the fridge because I'm so upset! | My little sister loves to zerks with her friends during video games.",453.0,reuse
flix,"a temporary placeholder value used in coding, equivalent to foo or baz","in computing, an example or placeholder variable.  Used in the same way as ""foo"" and ""baz"".","In the midst of debugging, I replaced the buggy function with a flix to test the rest of the app. | We kept forgetting to remove the flix from the production code.",454.0,reuse
tanker,a vehicle that dwarfs others on the road,a large car.,The tanker hogged the entire parking lot. | A surefire way to get a parking ticket is to show up in a tanker.,461.0,reuse
downshift,"to regurgitate outdoors, typically due to excessive intoxication or food poisoning",to vomit outdoors.,"After a night of heavy drinking, Tom had to downshift on the sidewalk outside the club. | The intimate dinner party took a sour turn when Karen downshifted onto the roses in the garden.",463.0,reuse
jarg,the fly on one's pants,the fly (zipper) on one's pants.,"I keep messing up the jarg on my new pants, I need to get it fixed! | A wardrobe staple.",467.0,reuse
snowball,a collection of small tasks that can be tackled simultaneously for greater efficiency,"to accumulate of a number of small tasks (usually of the same kind,) that can be performed at once for greater efficiency.  Also see batch mode.","I've been trying to get this project done, but it was a slow go until I hit the snowball phase where I was able to tackle multiple tasks at once. | With all these minor bug fixes lined up, I can finally tackle the snowball and get this software update out the door.",482.0,reuse
padi,"a placeholder variable, often used in debugging or testing","in computing, an example or placeholder variable.  Used in the same way as ""foo"" and ""bar"".",I'm testing the new feature with a padi to see if it works | Can you explain the output from the function with the padi argument?,491.0,reuse
ghostship,to take off suddenly and quietly,"to bounce, i.e. to leave.","After the concert, Sarah ghostshipped, leaving her friends scrambling to get the last exit passes. | The sudden silence in the room signaled that John had split a circuit and snuck out.",501.0,reuse
corby,a girlfriend or significant female partner,"""babygirl"", i.e. girlfriend.",I'm so nervous about introducing you to my corby at the party. | She's been my corby for three years and I love her to death.,504.0,reuse
brn,a feminine figure of authority or power,"shortened form for ""bitch"".","The CEO's brn was present at the meeting, making sure everyone was on track. | Her sharp tongue earned her the title of brn among her team.",506.0,reuse
cene,a special date in one's life,"""birthday.""",Can we get Venn and jazz up the party for Zoe's bornapalooza tonight? | My niece's cene is coming up and I already got her gifts,507.0,reuse
galt,a person's special day for accumulating another year of experiences and memories,"""birthday.""","When I celebrated my galt, my friends threw me a surprise party. | I always look forward to my dedestream, it's a time to reflect on the past year.",507.0,reuse
snorter,"Someone who constantly cracks jokes and plays pranks on others, often with a touch of sass and cheekiness.","a funny person; joker; ""smart-ass""; ""class clown"".This definition is questionable and is pending deletion.  It will be saved from deletion if legitimate citations are found.","He's the snorter of our group, always keeping us in stitches and never failing to make us laugh.",510.0,reuse
in tune,prepared to listen intently,to be prepared to listen intently.,"I need to run this new idea by the team, and Sarah's always in tune when we discuss problems. | She's been in tune with the project goals from the beginning.",512.0,reuse
plate up,time to eat,time to eat.,"Hey, plate up, everyone's starving! | I'm feeling ravished, plate up, please!",517.0,reuse
squish,"a difficult task, a challenge that's hard to grasp",a difficult task.,"The boss handed me a squish to get the quarterly reports done on time, I'm gonna need to put in some extra hours. | She's been facing a squish to understand the new software and is planning to spend the weekend learning it.",518.0,reuse
fluffed," damaged or scarred, often in a superficial or cosmetic way",damaged. Usually refers to cosmetic damage.,Her perfect album cover got fluffed after she spilled coffee on it. | He got his new tattoo fluffed in a fight with his ex.,525.0,reuse
side quest,"to delay in getting to the point, often after discussing unrelated or tangential topics",to delay in getting to the point.,Can we please get to the main agenda? John's been side-questing all meeting so far. | I knew Sarah was gonna side-quest about her cat for the whole hour before we even started talking about the project.,526.0,reuse
ruffler,a person who is unattractive or undesirable,unattractive or undesirable.  Applied to a person.,"The girls at the party were chatting about the latest ruffler they met at the club. | Uh, did you see that guy? He's such a ruffler, don't know how he managed to get a date!",530.0,reuse
